,commit count,percentage of commits,Commit Frequency,Issue Count,Percentage of issues,Files Changed,LOC Inserted,LOC Deleted
prajwalkirankumar,1,12.5,0,0,0,1,111,0
rahul-shiv,5,62.5,1.6666666666666667,1,0,3,120,0
rasya-ramesh,2,25.0,0,1,0,2,88,2
