,commit count,percentage of commits,Commit Frequency,Issue Count,Percentage of issues,Files Changed,LOC Inserted,LOC Deleted
Man24ish,7,33.33333333333333,2.3333333333333335,3,0.75,8,601,1
meghak09,2,9.523809523809524,0,3,0.75,7,446,1
meghana-holla,1,4.761904761904762,0,1,0.25,2,81,7
therealslimshetty,9,42.857142857142854,0,3,0.75,10,713,11
