,commit count,percentage of commits,Commit Frequency,Issue Count,Percentage of issues,Files Changed,LOC Inserted,LOC Deleted
=,1,5.0,0,3,3.0,1,10,0
jaibhageria,11,55.00000000000001,3.6666666666666665,1,1.0,17,413,253
mguru1998,3,15.0,0,0,0.0,3,38,10
shreyaspujari,5,25.0,0,1,1.0,4,165,2
