,commit count,percentage of commits,Commit Frequency,Issue Count,Percentage of issues,Files Changed,LOC Inserted,LOC Deleted
ShaliniSP,7,46.666666666666664,3.5,1,0.125,2,53,0
salonigovil8,8,53.333333333333336,8.0,4,0.5,4,333,0
shalini,1,6.666666666666667,0.5,0,0.0,1,1,0
