,commit count,percentage of commits,Commit Frequency,Issue Count,Percentage of issues,Files Changed,LOC Inserted,LOC Deleted
FruitVodka,6,30.0,2.0,2,1.0,2,1804,0
shruthigopinath,12,60.0,0,2,1.0,9,74,13
