,commit count,percentage of commits,Commit Frequency,Issue Count,Percentage of issues,Files Changed,LOC Inserted,LOC Deleted
Dweepa,4,22.22222222222222,0.8,4,0.3333333333333333,4,14,2
Ishita98,11,61.111111111111114,0,5,0.4166666666666667,4,3870,307
KavyaVarma,3,16.666666666666664,0,4,0.3333333333333333,3,269,0
